ID_ETABLISSEMENT;Adresse;Commune;Code_postal;Implantations;Concordance_classeur;ID_a_revoir;Position;Adresse_ACT;Latitude;Longitude
ETA-000198;32, Rue Stade John F. Kennedy, L-3502 Dudelange;Dudelange;L-3502;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000199;32a Rue Des Carrières, 1316 Luxembourg;Luxembourg;L-1316;4;Concordant;;Validé automatiquement;32A, Rue des Carrières 1316 Luxembourg;49.628813922;6.169430742
ETA-000200;32b, Rue Antoine-François Van Der Meulen, 2152 Luxembourg;Luxembourg;L-2152;1;Concordant;;Validé automatiquement;32B, Rue Antoine-François Van Der Meulen 2152 Luxembourg;49.638961278;6.140766394
ETA-000201;32b Rue Robert Schuman, 5751 Frisange;Frisange;L-5751;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000202;33 Allée Scheffer, 2520 Luxembourg-Limpertsberg;Luxembourg;L-2520;1;Concordant;;Validé automatiquement;33, Allée Scheffer 2520 Luxembourg;49.617779126;6.123507325
ETA-000203;33, Rue du Castel, 4525 Niederkorn;Differdange;L-4525;2;Concordant;;Validé automatiquement;33, Rue du Castel 4525 Niederkorn;49.539529867;5.892485025
ETA-000204;33, Rue Du Dix Octobre, 7243 Bereldange;Walferdange;L-7243;2;Concordant;;Validé automatiquement;33, Rue du Dix Octobre 7243 Bereldange;49.652345167;6.125016917
ETA-000205;34-36, rue Glesener, 1630 Luxembourg, Luxembourg, 1630 Luxembourg;Luxembourg;L-1630;1;Concordant;;Adresse ou numéro ambigu;;;
ETA-000206;34, Avenue de la Liberté, L-1930 Luxembourg-Gare;Luxembourg;L-1930;5;Concordant;;Validé automatiquement;34, Avenue de la Liberté 1930 Luxembourg;49.603908265;6.130425531
ETA-000207;34, Rue Glesener, 1630 Luxembourg;Luxembourg;L-1630;1;Concordant;;Validé automatiquement;34, Rue Glesener 1630 Luxembourg;49.602010136;6.129493371
ETA-000208;35, avenue Pasteur, L-2311 Luxembourg;Luxembourg;L-2311;1;Concordant;;Validé automatiquement;35, Avenue Pasteur 2311 Luxembourg;49.618857113;6.121800608
ETA-000209;35, Route De Diekirch, 7220 Helmsange;Walferdange;L-7220;5;Variante typographique;IMP-000008,IMP-000073,IMP-000125;Validé automatiquement;35, Route de Diekirch 7220 Helmsange;49.661867431;6.132839013
ETA-000210;36, Rue Du Stade, 6725 Grevenmacher;Grevenmacher;L-6725;1;Concordant;;Validé automatiquement;36, Rue du Stade 6725 Grevenmacher;49.687044788;6.449984725
ETA-000211;36, Rue Sainte Zithe, L-2763 Luxembourg | 9, rue Edward Steichen, 2540 Luxembourg-Kirchberg;Luxembourg;L-2763;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000212;37 Route De Luxembourg, 6475 Echternach;Echternach;L-6475;2;Variante typographique;IMP-000406;Résultat sans concordance numéro/rue/code postal;;;
ETA-000213;37A, route de Luxembourg / 9, route de Diekirch, L-6430 Echternach;Echternach;L-6430;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000214;38-40 rue Sainte Zithe, 2763 Luxembourg;Luxembourg;L-2763;1;Concordant;;Adresse ou numéro ambigu;;;
ETA-000215;38, Rue Auguste Letellier, 1 er Étage, 1932 Luxembourg | 5, Rue Edward Steichen, 2540 Luxembourg;Luxembourg;L-1932;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000216;38, rue Auguste Letellier, L-1932 Luxembourg-Bonnevoie;Luxembourg;L-1932;1;Concordant;;Validé automatiquement;38, Rue Auguste Letellier 1932 Luxembourg;49.594258547;6.139557868
ETA-000217;38, Rue d'Arlon, L-8552 Oberpallen;Beckerich;L-8552;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000218;38 Rue D'audun, 4018 Esch-sur-Alzette;Esch-sur-Alzette;L-4018;1;Concordant;;Validé automatiquement;38, Rue d'Audun 4018 Esch-sur-Alzette;49.489378659;5.977411922
ETA-000219;4-6 Avenue De La Gare, 1610 Luxembourg;Luxembourg;L-1610;2;Concordant;;Adresse ou numéro ambigu;;;
ETA-000220;4, allée Léopold Goebel, L-1635 Luxembourg;Luxembourg;L-1635;4;Variante typographique;IMP-000469;Validé automatiquement;4, Allée Léopold Goebel 1635 Luxembourg;49.612850293;6.112617782
ETA-000221;4, Haaptstroos, L-9365 Eppeldorf;Vallée de l'Ernz;L-9365;1;Concordant;;Validé automatiquement;4, Haaptstrooss 9365 Eppeldorf;49.844118858;6.247109428
ETA-000222;4, Place des Villes Jumelées, L-5627 Mondorf-les-Bains;Mondorf-les-Bains;L-5627;1;Concordant;;Validé automatiquement;4, Place des Villes Jumelées 5627 Mondorf-les-Bains;49.505943158;6.276398815
ETA-000223;4 Route De Burange, 3429 Dudelange;Dudelange;L-3429;1;Concordant;;Validé automatiquement;4, Route de Burange 3429 Dudelange;49.48267877;6.083696157
ETA-000224;4, rue Barblé, L-1210 Luxembourg;Luxembourg;L-1210;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000225;4, Rue de l'Ecole, L-4103 Esch-sur-Alzette;Esch-sur-Alzette;L-4103;2;Concordant;;Validé automatiquement;4, Rue de l'Ecole 4103 Esch-sur-Alzette;49.49708397;5.98490752
ETA-000226;4, Rue De La Poste, 4939 Bascharage;Käerjeng;L-4939;1;Concordant;;Validé automatiquement;4, Rue de la Poste 4939 Bascharage;49.567682054;5.910962667
ETA-000227;4 Rue Du Brill, 4041 Esch-sur-Alzette;Esch-sur-Alzette;L-4041;1;Concordant;;Validé automatiquement;4, Rue du Brill 4041 Esch-sur-Alzette;49.490675117;5.979719132
ETA-000228;4 Rue John Ernest Dolibois, 4573 Differdange;Differdange;L-4573;2;Concordant;;Validé automatiquement;4, Rue John Ernest Dolibois 4573 Differdange;49.522144254;5.893743774
ETA-000229;40 Rue Du Commerce, 3450 Dudelange;Dudelange;L-3450;1;Concordant;;Validé automatiquement;40, Rue du Commerce 3450 Dudelange;49.477715918;6.085529488
ETA-000230;41, Avenue de la Gare, L-1611 Luxembourg;Luxembourg;L-1611;4;Concordant;;Validé automatiquement;41, Avenue de la Gare 1611 Luxembourg;49.602637742;6.133326142
ETA-000231;41, Route d'Echternach, L-6250 Scheidgen;Consdorf;L-6250;1;Concordant;;Validé automatiquement;41, Route d'Echternach 6250 Scheidgen;49.782774199;6.362636
ETA-000232;4174 Esch-sur-Alzette;Esch-sur-Alzette;L-4174;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000233;41B, rue des Romains, L-8041 Strassen;Strassen;L-8041;1;Concordant;;Validé automatiquement;41B, Rue des Romains 8041 Strassen;49.618587628;6.07442507
ETA-000234;42 Rue Guillaume Capus, 4071 Esch-sur-Alzette;Esch-sur-Alzette;L-4071;1;Concordant;;Validé automatiquement;42, Rue Guillaume Capus 4071 Esch-sur-Alzette;49.508371593;5.972771606
ETA-000235;43 Route D'arlon, 8009 Strassen;Strassen;L-8009;1;Concordant;;Validé automatiquement;43, Route d'Arlon 8009 Strassen;49.617574466;6.089438126
ETA-000236;43 Rue De Mersch, 9155 Grosbous;Groussbus-Wal;L-9155;1;Concordant;;Validé automatiquement;43, Rue de Mersch 9155 Grosbous;49.82166093;5.970249544
ETA-000237;44, Route d'Esch, 1470 Luxembourg;Luxembourg;L-1470;1;Concordant;;Validé automatiquement;44, Route d'Esch 1470 Luxembourg;49.60353447;6.120546941
ETA-000238;44, Rue D'Anvers, 1130 Luxembourg, 2ème étage, Bât, 1130 Luxembourg;Luxembourg;L-1130;1;Concordant;;Validé automatiquement;44, Rue d'Anvers 1130 Luxembourg;49.602818252;6.128222791
ETA-000239;44, Rue D'anvers, 1130 Luxembourg,2ème étage, Bâti, 1130 Luxembourg;Luxembourg;L-1130;1;Concordant;;Validé automatiquement;44, Rue d'Anvers 1130 Luxembourg;49.602818252;6.128222791
ETA-000240;44, rue d'Anvers, L-1130 Luxembourg-Gare;Luxembourg;L-1130;1;Concordant;;Validé automatiquement;44, Rue d'Anvers 1130 Luxembourg;49.602818252;6.128222791
ETA-000241;44, Rue d'Anvers (2ᵉ étage), 1130 Luxembourg | 9, Rue Edward Steichen, 2540 Luxembourg-Neudorf;Luxembourg;L-1130;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
